subject,trial,feature,roi
9,130,"[0.14105406445884572, 0.32043835318026126, 0.8654651875622313, 0.5626520841453603, 0.12634631246992112, 0.927822407688503, 0.46148039406625974, 0.8028962930780965, 0.9307208595761308, 0.1786444992559051, 0.017830034166800734, 0.027996167019145757, 0.9141191536099252]",mouth
9,131,"[0.3184623091308799, 0.9903829345202477, 0.9843507874018786, 0.28817143619050667, 0.05926658348724945, 0.06447743736653222, 0.9766439083310188, 0.8187303006059161, 0.7918964324865398, 0.7776692376710225, 0.03078839486904672, 0.5543107063776138, 0.14538571313000426]",
9,132,"[0.6893660180187599, 0.7247292233042782, 0.27813439618160507, 0.8028584883507697, 0.3900630752259461, 0.5220932536228684, 0.08273736135153065, 0.5423787115047511, 0.726878725437848, 0.6724553811952589, 0.7423735745322768, 0.9068926702000365, 0.8637347724122053]",mouth
9,133,"[0.7863977898779504, 0.4621695199614133, 0.8296186551062588, 0.5069641142109069, 0.3294303970979341, 0.9802166800085411, 0.21063550053023594, 0.10522101209386181, 0.8103535789850714, 0.9639538079061275, 0.4338797471757695, 0.0741214472058499, 0.0770419013828284]",
9,134,"[0.5056719175800878, 0.29634993617338723, 0.07297900919500921, 0.08826992301264058, 0.5363833598853395, 0.3983673273727546, 0.643830810027353, 0.9241704711902519, 0.12055389993274501, 0.7151989358948848, 0.9258514875924934, 0.19775444128150277, 0.18267897704027158]",mouth
9,135,"[0.041550141731300005, 0.10791777213598497, 0.9670868480997246, 0.602166548552196, 0.961819753578242, 0.7654194700970257, 0.628587649528183, 0.8929947623195377, 0.8124219930736104, 0.849526976861416, 0.5875963495743469, 0.0961574935890035, 0.6638568573699778]",
9,136,"[0.6310059661094702, 0.9717932381196609, 0.042390317174544556, 0.0638505781970291, 0.5996553566844995, 0.43827303236078385, 0.592650343312402, 0.2913171557236125, 0.4661943223586781, 0.371314635878639, 0.5838937773281274, 0.5123412190742322, 0.45753711923959683]",
9,137,"[0.4516909351593017, 0.8905620159405064, 0.3356557144449708, 0.5815502731392332, 0.730778334792779, 0.6246847784101732, 0.3519093517946369, 0.9559085432854865, 0.8944062613642542, 0.09951687698869505, 0.4436412002121597, 0.17303512505486673, 0.8230151959245852]",
9,138,"[0.9125102494804781, 0.7986570859736075, 0.5087307657366139, 0.9826644967427712, 0.11637780439231848, 0.9716946595763655, 0.6456311576378478, 0.26367360771773807, 0.9367963385592413, 0.2200180623425526, 0.4735419809175736, 0.1875091498391368, 0.6374773549053342]",
9,139,"[0.9842255146639727, 0.7705957610039907, 0.9410952972148837, 0.36760248199260304, 0.4226016892673564, 0.1455977491135656, 0.16871200120262675, 0.7504712183199739, 0.04111862890356299, 0.8094919402532033, 0.5930268404656918, 0.9752879408149514, 0.1701715839167648]",eye
9,140,"[0.11304555216128187, 0.4142432054589401, 0.1489893124890308, 0.5440547181604175, 0.01323954509917813, 0.05608031222258414, 0.26774465645042855, 0.30667264706616715, 0.30767367211625285, 0.48021068569438075, 0.796423971830321, 0.4477167944532847, 0.2278514944566007]",
9,141,"[0.8195699456243487, 0.38061263586063165, 0.48597469403531257, 0.42912463966060466, 0.7837475482856684, 0.36705916053066145, 0.20018970028666772, 0.1343243443639287, 0.7523604447209077, 0.2505394159699317, 0.2808551867369754, 0.9178576784520498, 0.17589085272236316]",mouth
9,142,"[0.12359623580863388, 0.9639537632120588, 0.8617896328164676, 0.40181802734042016, 0.9894051683874276, 0.28612637395536056, 0.7793019576203045, 0.25875068403148105, 0.3132499255086918, 0.0023974339948971135, 0.9424791608413335, 0.19304331654132434, 0.7385266984211412]",
9,143,"[0.5218267146725298, 0.7481652559987573, 0.16207956874889706, 0.6310059899888951, 0.7362136462825791, 0.018062470001938058, 0.07170747910337283, 0.585647189034615, 0.32892745608496143, 0.3387225915433114, 0.1807292674247536, 0.29521806682525775, 0.5820796228464968]",mouth
9,144,"[0.604106484117797, 0.6705214654177346, 0.4401655473944329, 0.2342347269383276, 0.5377014348658811, 0.0652372668276795, 0.1557141471309349, 0.7592075968014795, 0.25095281503702127, 0.9984562110272711, 0.1441435047520776, 0.38305629264162766, 0.4361515418360108]",eye
9,145,"[0.7684248262717807, 0.9346759237695242, 0.5775643660927733, 0.3606413811229061, 0.96690861713683, 0.7156776617693438, 0.09597823787280135, 0.09002726763053226, 0.9774634023843923, 0.967972251993119, 0.3217795948692894, 0.10278876176129059, 0.8125927202259929]",eye
9,146,"[0.7337054326516143, 0.7830144699058276, 0.00048686095582417543, 0.203077847790611, 0.3504962308161038, 0.3758055846781364, 0.4411002940092147, 0.13397444565269967, 0.07239376498762262, 0.12865531268605324, 0.20613390271080012, 0.8173543450466227, 0.24820940509758116]",eye
9,147,"[0.445300468771924, 0.09940254471221388, 0.5650628734889187, 0.8552113907723913, 0.8680157069827528, 0.8856771835882364, 0.15155340335625755, 0.7723784451653731, 0.6229192852986157, 0.5852325605110815, 0.8387128986710292, 0.651094153817617, 0.7624704414256879]",eye
9,148,"[0.9257344151875639, 0.9426172543969104, 0.5828737961019406, 0.19987420763644104, 0.1538474596467364, 0.19438557859229944, 0.22198578085860532, 0.23801650689976317, 0.23929461530739926, 0.3128156924895866, 0.7438553598009512, 0.9853688907912527, 0.047766446425152265]",
9,149,"[0.27657949460628306, 0.7066857949006594, 0.02966043731748713, 0.7071217777648889, 0.4088251430116653, 0.20159010824480228, 0.19709532179580547, 0.6028201570386836, 0.21348953719737707, 0.14257028277021777, 0.27144982127178174, 0.2471783079599339, 0.4281921730959525]",eye
9,150,"[0.6703880297521534, 0.7076626219486616, 0.34457491957261643, 0.22255037094533248, 0.8908072403793453, 0.8197180740279957, 0.8297848778721306, 0.6128361779129834, 0.3619580833204744, 0.35005736491409034, 0.8081812101240837, 0.6048433656286352, 0.9514655240463615]",eye
9,151,"[0.7089225783298068, 0.09638797847025404, 0.914044999316161, 0.7665008347613224, 0.24280323207690768, 0.2162605382845726, 0.90505188776061, 0.121128743797423, 0.1489830373416251, 0.23079532814936665, 0.07438187465434576, 0.463315482588356, 0.36324183925445197]",eye
9,152,"[0.9419676846576364, 0.32346884689192235, 0.09152203881835286, 0.07963990646801666, 0.29175266616047635, 0.04328072615733458, 0.1631618424463266, 0.5929659013272487, 0.4004826226375253, 0.4414541188789489, 0.23364108164897002, 0.0964792800805161, 0.4487521329105102]",
9,153,"[0.16941934780197887, 0.015915929207090285, 0.6159278597983499, 0.1565592674284101, 0.8543345130783728, 0.10643399324397096, 0.4668957894974599, 0.9074705882374734, 0.23019442793772815, 0.6176855692353732, 0.5648612652996016, 0.8806225176411059, 0.2173579262952583]",mouth
9,154,"[0.021206604853875932, 0.13448532278384517, 0.7484960645022788, 0.19441229689114514, 0.11775684072114145, 0.6588185911254628, 0.8260876424681383, 0.483086473011647, 0.047172188370846135, 0.30623782746894934, 0.4052261548371062, 0.8329687793743578, 0.8185244372194241]",
9,155,"[0.15060241538168917, 0.47542876169047843, 0.4137182104147785, 0.5217939386314505, 0.0577101828687111, 0.28062415245020633, 0.5940431474810656, 0.5264488648524005, 0.8200417544312953, 0.5291615396820639, 0.5102735717986903, 0.4156844448775747, 0.14467640877965193]",mouth
9,156,"[0.16888435758729303, 0.9989794031158551, 0.6302732911145149, 0.5758420897370995, 0.13295164001072268, 0.9743090939004588, 0.36544431869227356, 0.06520909270707398, 0.8239241494198412, 0.2778232879324989, 0.7090064700926572, 0.9500713259520255, 0.22747597922669993]",
9,157,"[0.037602230665945036, 0.0628862654577117, 0.8117108794090138, 0.9995242001171182, 0.13799210293493847, 0.5059188505514857, 0.23149861464377008, 0.15577346431592243, 0.1195555500602703, 0.44273359155440384, 0.0037628099888449285, 0.22903995208770378, 0.9102752399243134]",mouth
9,158,"[0.7336971882243578, 0.20716265640612608, 0.5450960794651648, 0.7882810532064602, 0.4168116081980695, 0.8326110884347773, 0.7715631131446214, 0.6072253432582504, 0.17200691655992872, 0.9519701949739768, 0.9596736925952271, 0.26547421525976256, 0.6956641906119526]",mouth
9,159,"[0.12348593145945863, 0.09929951271727322, 0.1658929230021372, 0.5299121928213576, 0.9965144694703454, 0.16432992962903348, 0.5404340924715385, 0.743780424262501, 0.76320531576961, 0.946503181190655, 0.5764127049732667, 0.4328097638224391, 0.8415660259959097]",mouth
9,160,"[0.9629256379375131, 0.7012889849473027, 0.9922743712018097, 0.31376089358826453, 0.6106175462650671, 0.1975349800975552, 0.11063928101776543, 0.11406083956045654, 0.6273514820553312, 0.05020080292925411, 0.05518730935992233, 0.4064455305613697, 0.5104558541503742]",eye
10,1,"[0.9703122506993079, 0.09091757544355028, 0.8417401681158905, 0.9682320968235895, 0.38289074640822984, 0.44237352635743266, 0.3213489244956653, 0.06590391049860533, 0.5730601437607437, 0.030034376404618812, 0.668873801328781, 0.7487689510273076, 0.08068882690599666]",eye
10,2,"[0.2917069933095551, 0.3596522226720493, 0.49018781563432556, 0.3968731819981508, 0.09914813298144287, 0.3534645338369605, 0.8224663551191926, 0.4790720120690849, 0.5844470416404409, 0.924398516929727, 0.8691780172720763, 0.6099262043963005, 0.6659339796998606]",
10,3,"[0.5430405320889372, 0.366683351360636, 0.48839342769831773, 0.12681034334658747, 0.9157618516228689, 0.10327019520748137, 0.11236227037215507, 0.5144669139012009, 0.6443382858145044, 0.7548334664432509, 0.386695579174393, 0.4871069984310702, 0.013997227234900045]",eye
10,4,"[0.8495124320376932, 0.7732585673449982, 0.3268286074803426, 0.0007194156232382953, 0.22395958512154024, 0.8019354239585961, 0.9320411125900838, 0.030287682412157402, 0.5727219668432204, 0.6004138826735208, 0.8609592543837632, 0.8460461894413778, 0.7783931606839023]",eye
10,5,"[0.2596375184377603, 0.8824443308234726, 0.5547626412476525, 0.22393296996425072, 0.873884386384006, 0.21525017504516508, 0.047915817776227665, 0.5187408524211369, 0.1707548148774466, 0.8694204480686806, 0.09046111481698904, 0.6294903521308506, 0.3003289170429134]",mouth
10,6,"[0.018258866175424715, 0.574819233885546, 0.24706663611341695, 0.09466182160379699, 0.6273809445354401, 0.6419503735502315, 0.02670629999274632, 0.07371976173723571, 0.1158920646872248, 0.40520408045034917, 0.19599415516127583, 0.012293589823870188, 0.2494487054843565]",mouth
10,7,"[0.49413036618179207, 0.6995382487413359, 0.376890060245769, 0.37890719580331333, 0.506852723536724, 0.9789041196653123, 0.28830142699492645, 0.4768202074751394, 0.40842947040971, 0.377298424156029, 0.5579671752649665, 0.8950885646499499, 0.04785420726725054]",eye
10,8,"[0.7371871324495902, 0.9479880301216549, 0.796196040530814, 0.3765806738473064, 0.8259875874809152, 0.16188806417247914, 0.9071452590287449, 0.022596067679978127, 0.8931417053208558, 0.47925365348048254, 0.7995952663426015, 0.5755018820313831, 0.8715303229765737]",
10,9,"[0.6362336003469284, 0.14114863750969864, 0.47570208588945495, 0.23914035847644144, 0.540076053264241, 0.6134272537891908, 0.8379108075001003, 0.9856199763702952, 0.6340103024130569, 0.1703230060601354, 0.507195209278968, 0.33561115167165434, 0.7632365803707712]",mouth
10,10,"[0.6706548851850609, 0.5698268166705184, 0.42521657224544174, 0.8476961577020824, 0.4547822335038092, 0.9324433331879174, 0.21479134287626167, 0.5452266242562163, 0.7411678158906989, 0.848479893372533, 0.4321222377188877, 0.07160312093914833, 0.017555130184774614]",eye
10,11,"[0.5591453904482552, 0.4992197232269274, 0.32562707347136943, 0.8722273531171296, 0.15768731834518324, 0.9795839718040062, 0.8926389880114843, 0.8072229965777007, 0.8755173245194313, 0.6461991449397843, 0.371662775874251, 0.20947378274044093, 0.15198581442752346]",
10,12,"[0.49224776390572855, 0.05316336408154021, 0.06615332063557333, 0.4451417271447903, 0.8759405980500674, 0.1510383738295349, 0.38713719739989894, 0.4437423343732908, 0.4428849094607573, 0.8887582382352943, 0.21873016559306147, 0.7395358724270633, 0.4334834321183295]",
10,13,"[0.6028330107039606, 0.9319149380815753, 0.5384729163432996, 0.6837552593237929, 0.08234395327603838, 0.6457847129044206, 0.9204479567810394, 0.6870022054685655, 0.9271340020405705, 0.43087380079387505, 0.7416899359464662, 0.5859079175930467, 0.11271185537020323]",
10,14,"[0.400009497426389, 0.06488753025677574, 0.5900228690090795, 0.10186282665924307, 0.17685076815129042, 0.6882553073616643, 0.5253804245027457, 0.034416672587143426, 0.7535291968052965, 0.8665102310983149, 0.08241756381410359, 0.9289231118522648, 0.788849173476252]",eye
10,15,"[0.20638803550821172, 0.4949410214839285, 0.8853536160262254, 0.53973666101795, 0.6013910451986874, 0.03710019487697369, 0.45097853581849723, 0.6649092875194428, 0.05229361345821737, 0.4275641796067292, 0.6511716681692673, 0.9968980438773343, 0.07216070485821036]",mouth
10,16,"[0.3497297348540378, 0.02303723732535956, 0.9759564929734748, 0.96022539747158, 0.4508735916668999, 0.8741840041642971, 0.45981650442168664, 0.5025426946324785, 0.2842282285950849, 0.8691550318874016, 0.2062349476391766, 0.49472237361688964, 0.7623392910102059]",mouth
10,17,"[0.6412568757545156, 0.38473378711566275, 0.41623586610063423, 0.40266914050655833, 0.44899049330005725, 0.5909913976554103, 0.501938104861242, 0.8344596661232144, 0.0717069887762497, 0.91126081710829, 0.48687137922005685, 0.23701502323789325, 0.6700770811458738]",
10,18,"[0.2095650584883777, 0.3259641757579854, 0.37059031085464444, 0.9704919954892963, 0.9415362055656266, 0.4462604690621059, 0.42641787859755886, 0.14779958371219637, 0.22786722528187842, 0.5184466119248781, 0.1954731799460524, 0.3210309205569625, 0.813189633423733]",
10,19,"[0.14309595406017805, 0.8882614570363071, 0.25911956237833456, 0.8083726266506174, 0.1556024956153349, 0.3943952522017268, 0.8613689847919009, 0.20872215715735698, 0.7505236639037901, 0.7001370601639202, 0.1966106997048893, 0.4524042846788081, 0.48796917699348497]",
10,20,"[0.5084286240644965, 0.012586378573163803, 0.49759294034735724, 0.2923821302626314, 0.6560166783312958, 0.40651418079129764, 0.19909836581155993, 0.2762833569870742, 0.841352692208735, 0.8288541710980918, 0.5786710328238472, 0.5953673945769218, 0.3472035563040512]",mouth
10,21,"[0.39468865695913646, 0.2010311098661982, 0.40321264963800596, 0.45697180101128754, 0.773393832735259, 0.3204774938653808, 0.023519528865783346, 0.4549051551657102, 0.05782899669305108, 0.43172082033007975, 0.5142003381287283, 0.74477606351655, 0.1525749140108229]",mouth
10,22,"[0.3923316390678776, 0.9515969566742256, 0.14319497800859948, 0.1016562547488753, 0.3850336771797864, 0.7016220203477126, 0.6392125515016206, 0.6009939744409849, 0.17709005012285362, 0.6139600754783895, 0.7621901757603787, 0.7899828319750841, 0.5798914450434235]",
10,23,"[0.8835056583490491, 0.5662373944539729, 0.7658256147655355, 0.8874929559606084, 0.05653778773086049, 0.0835421009285352, 0.5041688132181495, 0.027386209703683995, 0.6809511107098987, 0.0636503774180639, 0.4370935183741701, 0.6333234172603304, 0.49508735569905105]",mouth
10,24,"[0.2716608996886347, 0.2912104172537836, 0.07030917916224488, 0.41877727802211717, 0.7228994345779862, 0.9465305125612055, 0.8335968529763278, 0.2293644923108562, 0.7025973428781951, 0.3928079226253951, 0.5345151418165022, 0.3638501025115082, 0.29965753319190314]",eye
10,25,"[0.7074463068088892, 0.6448226919928872, 0.395487741033516, 0.34354038746650817, 0.09195312402512512, 0.19040727874298713, 0.8468824034484346, 0.2558560208691798, 0.8243543893053543, 0.4141815160279767, 0.5244975046229875, 0.2691784502004094, 0.6154510779421791]",eye
10,26,"[0.5989318299080836, 0.7991821399667906, 0.5034035677929882, 0.8336290430505083, 0.30702246304600567, 0.5047576066065874, 0.5026384713548039, 0.48194481014622625, 0.7090637281356332, 0.983145541107096, 0.5578775519779131, 0.4948743138922229, 0.023417684677187522]",eye
10,27,"[0.469551598716727, 0.8438761378753216, 0.9704624373358601, 0.6098004242169697, 0.27489756900392637, 0.5577510869912236, 0.5852004341293794, 0.6262169611932301, 0.37745071483498727, 0.7290827565871433, 0.6323075568719143, 0.7916721675139602, 0.21133717678774433]",mouth
10,28,"[0.9152644584072305, 0.2945871049922173, 0.11699088242269895, 0.5875361346497499, 0.6302664566556234, 0.011574699101429275, 0.6269030150951063, 0.7477461488993029, 0.8485710588365247, 0.6768422027152657, 0.8303244099320946, 0.45363485191914155, 0.07766866312925913]",mouth
10,29,"[0.6926241595757492, 0.7182160590298963, 0.09869207808552583, 0.08593220364820509, 0.8355303587484153, 0.7177020709154254, 0.24409705547738514, 0.5294551800594316, 0.596985169081926, 0.14782794179375813, 0.06403165316618831, 0.9418768287167445, 0.7673852876751015]",
10,30,"[0.9887087624305619, 0.03708992767014074, 0.5843745965323682, 0.4945378906871739, 0.5074242748596729, 0.9058136162511282, 0.9988570040425067, 0.37997952205859453, 0.7524875474688048, 0.382067220918359, 0.25453019045719305, 0.2506568234509754, 0.9535779648262691]",
10,31,"[0.23894487120889174, 0.7106962295989927, 0.2444896036693076, 0.4021880162357113, 0.36869927819112214, 0.24145769850472354, 0.16991759669247042, 0.18875684779963997, 0.7381903496429909, 0.39868482512840664, 0.6921758299973804, 0.7417817093785838, 0.6286794615470584]",mouth
10,32,"[0.43996172582893656, 0.263013279668172, 0.40231066234372304, 0.8628972941055361, 0.5967586439112688, 0.43362553678382343, 0.8591260266536911, 0.04280833198653822, 0.0043010337413944555, 0.1736787906790147, 0.13757090333289623, 0.8896395230085353, 0.5794243464633844]",
10,33,"[0.6611529959652646, 0.48314435416855817, 0.568111778176844, 0.8714548442009713, 0.04108799123358531, 0.3564924240599655, 0.2979583230578621, 0.8639434789084587, 0.2625565095126109, 0.8501369064104637, 0.012790226643141667, 0.6578716430776576, 0.14651977694675866]",mouth
10,34,"[0.980237268278368, 0.748625488200961, 0.2219644675155329, 0.9867702557407254, 0.35684650749574454, 0.37596416061855675, 0.3274736939535401, 0.40513914186364486, 0.927003926756231, 0.9281755545456541, 0.1277787358029624, 0.07803646231996575, 0.47595586849469906]",mouth
10,35,"[0.10694677316444956, 0.29409947596428365, 0.6926673636147164, 0.3968749565403369, 0.8520372362375663, 0.4054844800798918, 0.6595124543782372, 0.865321616156217, 0.2967865103245849, 0.3461530140305846, 0.24575325519046975, 0.6552142896753343, 0.1571138440294937]",mouth
10,36,"[0.6300779465028, 0.30791607758889006, 0.27561813402166324, 0.14480113433899944, 0.8133880399216926, 0.4392830337196082, 0.283833068168335, 0.3816547614851231, 0.5027338043644186, 0.5661896928645248, 0.44555424677139177, 0.5338242874158279, 0.27293710570088436]",eye
10,37,"[0.9389456246578572, 0.007821045423382245, 0.535543406012032, 0.8315622300183065, 0.5383474175525587, 0.6935505276307612, 0.1470884062807577, 0.4033978649365473, 0.7120954120678842, 0.039400227133439936, 0.01730368487264944, 0.2612082471400009, 0.2521817754398068]",
10,38,"[0.03608443415353968, 0.5000099081424049, 0.901711521657033, 0.6360454642497627, 0.8847117373510627, 0.4967526903760847, 0.4504191724662324, 0.34256780625543415, 0.4007488335912003, 0.3757510530860738, 0.5509486337255709, 0.6400219518347409, 0.31019316189434243]",eye
10,39,"[0.6908024819158303, 0.02250414472290252, 0.42596943861963366, 0.20408268461657175, 0.9453247433256196, 0.5207842162859065, 0.08266083139842739, 0.5175953720201655, 0.6846405269866923, 0.29154610764726374, 0.2627715900695541, 0.5292368754506778, 0.6090129032898429]",mouth
10,40,"[0.7274256076510076, 0.5133135833260607, 0.9845307009653096, 0.37740018467466663, 0.25785769848570506, 0.24154448646085358, 0.9848377473620724, 0.306431805292973, 0.1720972164551432, 0.8698824719893988, 0.8247147276846908, 0.8241825271428211, 0.1068244885002202]",mouth
10,41,"[0.9691612642509776, 0.23316065571184408, 0.956853299308111, 0.478229286053396, 0.056079913411384186, 0.711910002169074, 0.7777381417104038, 0.16059662202602998, 0.648316091953995, 0.7608145977347706, 0.4311452212181891, 0.06720476708638501, 0.5059165235591323]",mouth
10,42,"[0.783424132564288, 0.4679388581918955, 0.3731850002016748, 0.9595434577304233, 0.8524205641536764, 0.7830771109134881, 0.5240860848865753, 0.658741312288379, 0.4616971485611794, 0.7805074560615364, 0.770630008754577, 0.4366822900128807, 0.010937868816319085]",mouth
10,43,"[0.285979688934629, 0.948053474223675, 0.5553890254302606, 0.8571917381631895, 0.3632742772434536, 0.9007973007118946, 0.9909876139376071, 0.9862553412850444, 0.48444741456545015, 0.30542783430139264, 0.5522709311101951, 0.09743639228909051, 0.3081831840412924]",
10,44,"[0.5182704375990067, 0.1989807197534541, 0.43119825841848214, 0.9355558832570343, 0.03857526508326159, 0.11445377168486459, 0.4216950693327006, 0.27781043989460774, 0.5264737275661511, 0.1360678481965475, 0.11064152288815199, 0.6121517796198869, 0.9567708759641317]",eye
10,45,"[0.011766859216822634, 0.2726635472730259, 0.9832008866479566, 0.24316088060292695, 0.03712566130517947, 0.47398974180522546, 0.9920639529454088, 0.4245357124290756, 0.9331780820706982, 0.09343468159249779, 0.8760784999445804, 0.7154589490641395, 0.9650003028964426]",eye
10,46,"[0.7309025508263369, 0.708666777333214, 0.6394139782460734, 0.19114445970175875, 0.665933411579087, 0.42408391873279505, 0.21908042685482676, 0.049080170517537436, 0.48720453982863876, 0.23091503999272545, 0.7120595091702612, 0.5673915762028809, 0.9725066851530204]",eye
10,47,"[0.4226313964300441, 0.6865482571527456, 0.8620518763946455, 0.0726893335976615, 0.8020040958100568, 0.40890168817552974, 0.5612378162858317, 0.5979430511250531, 0.8264023751051645, 0.8395577040151203, 0.11385528420998814, 0.5079775662924799, 0.12070719554994913]",
10,48,"[0.5917057716387183, 0.5271405538033181, 0.9591553656439422, 0.7759440542827574, 0.44569664397097253, 0.2172430668132369, 0.9055876922629461, 0.25259542152254555, 0.5185982892620575, 0.1342032568286402, 0.2094836340915086, 0.8738570731462435, 0.11680433169476723]",mouth
10,49,"[0.7640171219648548, 0.32295924247361263, 0.9130226466151703, 0.549598096673922, 0.7405041230300539, 0.4936623099214913, 0.5453828446659604, 0.6273670902240022, 0.47435568867171074, 0.8852851357936007, 0.49829595220638423, 0.9082598787886782, 0.9796470743182473]",
10,50,"[0.8557681543560638, 0.8652010571276053, 0.3512138259231872, 0.770402056935518, 0.06824390304298233, 0.5056632751786768, 0.5128189914745678, 0.008103728749797368, 0.5329133668826078, 0.04481276389837163, 0.01883611877360203, 0.9739613931719087, 0.08919215677327064]",eye
10,51,"[0.1986341638004434, 0.6600769709984755, 0.23808041340278585, 0.6164454901048283, 0.3683663085719038, 0.3969826563440919, 0.03544069628158475, 0.8141510701526581, 0.5176610679805738, 0.5114806954869197, 0.715590427321561, 0.9525187183643204, 0.7194328568338106]",eye
10,52,"[0.7743731838020043, 0.730243489216256, 0.8184194313039782, 0.7448907083473351, 0.8112591588497527, 0.9703425812004572, 0.23508419240747036, 0.6302081843677888, 0.8753483493572994, 0.08397928033143764, 0.011741392563839659, 0.9518975833059072, 0.48767220289528923]",eye
10,53,"[0.8490843601047511, 0.1630822912934654, 0.3073593708967156, 0.39890756014722495, 0.6974203805025547, 0.9458921425191616, 0.763715464777333, 0.3183269550144727, 0.9502314232631549, 0.7699018109730242, 0.8771955988742377, 0.25127137380160924, 0.5828910885366434]",eye
10,54,"[0.4490045153270511, 0.7328238801014852, 0.8452556213113503, 0.4317177492142845, 0.06609544683330792, 0.9091928614769788, 0.6138912658386093, 0.6184254111424003, 0.5066271060925146, 0.6449115627201961, 0.9144877616642827, 0.7665165711978855, 0.5813968000085973]",mouth
10,55,"[0.8057574720007872, 0.28822225556768355, 0.4367544886091095, 0.3681310980423298, 0.7565106346350594, 0.8971992464065357, 0.9318087463370217, 0.6878708315426654, 0.7139014517165472, 0.3173787315961313, 0.7696956105513489, 0.007228394930022031, 0.9849322560663122]",
10,56,"[0.6835246320582988, 0.6462656524130039, 0.2056321743942211, 0.18375387649147823, 0.17817402959054562, 0.37038723241022076, 0.6350643603150288, 0.476161744742021, 0.6742581714275053, 0.6273175453415067, 0.005907455068628553, 0.9752260810916539, 0.9771414250785555]",mouth
10,57,"[0.052861522169663555, 0.9358863717793536, 0.3447193798142699, 0.7158510972725796, 0.22028414963604448, 0.9544765646948695, 0.8801570006436791, 0.5514353612663875, 0.7052454233562133, 0.09268149206293308, 0.025577913260430796, 0.7318822237958656, 0.4411679312134046]",mouth
10,58,"[0.9542761000335016, 0.9115920087448927, 0.8744107972906517, 0.7286168408872854, 0.5089510939392993, 0.5503312923986439, 0.4706877313311111, 0.5208217239394859, 0.6947778533679744, 0.7434452165115547, 0.9453596603736918, 0.9526157436083346, 0.43985639095251605]",
10,59,"[0.32599932172723844, 0.7050489859492456, 0.053631979915206074, 0.5686177151889598, 0.5245612053984595, 0.5272180739956549, 0.7428662754934443, 0.4147718564511014, 0.7235929697697417, 0.9114453834831181, 0.47865003155729513, 0.261522880149219, 0.7316379717852379]",mouth
10,60,"[0.7408999461721426, 0.739837071234256, 0.2626928630667783, 0.3609708033721851, 0.3553235490288674, 0.2911578052232058, 0.18607227280815175, 0.4448309206403269, 0.3016315782737202, 0.1651599667701602, 0.7382954365385821, 0.8966730341598791, 0.6441126753281755]",
10,61,"[0.5947924092600293, 0.8551333136324896, 0.95398369700251, 0.37263971866295564, 0.7019805135837618, 0.16051269561857184, 0.5372132956994293, 0.6992526777307587, 0.6170706625764507, 0.7061518814317018, 0.12264278289830333, 0.9211129262483122, 0.6076019608872876]",mouth
10,62,"[0.05616086499951689, 0.7494857222229728, 0.0779029651893971, 0.7112950808607751, 0.41916330630024723, 0.3194632006203151, 0.9324022759425644, 0.32590583208480994, 0.11119911241279246, 0.2636807966147313, 0.03896961460786974, 0.4910951736659236, 0.7194185052994598]",
10,63,"[0.4745903527088362, 0.5545687970169609, 0.5651657684463093, 0.6358119623406692, 0.6397145586410843, 0.6627125256910715, 0.5517917826976363, 0.242527649128363, 0.8774957541349077, 0.3318991777143927, 0.00966018832046911, 0.9498554109187068, 0.37767944265538045]",
10,64,"[0.013911944869527071, 0.6931512225193627, 0.1429135148884555, 0.049002694622353626, 0.66630414687105, 0.1424326607102907, 0.5960058590565773, 0.8522947155774412, 0.33388429198754443, 0.638261710916078, 0.9829517880741249, 0.33871052168861215, 0.00943969177755477]",eye
10,65,"[0.5444667104337947, 0.6253409757403071, 0.5194222976673282, 0.4654312445057407, 0.4100666344944709, 0.08482709889281748, 0.604107661586272, 0.026754112776580574, 0.8938394321123319, 0.9681470594614607, 0.014234964837220088, 0.8489879447261546, 0.9586612413893731]",
10,66,"[0.02511992361859572, 0.798241501300461, 0.4218474333049066, 0.030686801739728264, 0.6626631860850307, 0.6875522509622788, 0.3873263102092812, 0.7147626373695424, 0.28799954545542894, 0.4927352789294486, 0.5791076232218086, 0.8177086797766108, 0.9545444778612883]",
10,67,"[0.9005959376131759, 0.6719372131872647, 0.15597236277227455, 0.19900432775527555, 0.12380637180227427, 0.8797421354206739, 0.08686990547780782, 0.2967853824548853, 0.6772168878274578, 0.08071782068461575, 0.8189986403654489, 0.1387735980491236, 0.720635097190405]",mouth
10,68,"[0.5149664289537811, 0.11219405095199753, 0.12843911446518586, 0.48813437867443366, 0.5194324547081962, 0.7817367504484075, 0.14155697182655225, 0.23424969898185943, 0.3878657273306476, 0.6832717104833231, 0.5436752816955644, 0.12194302931487, 0.5741275479247996]",
10,69,"[0.9302525703712867, 0.6946343021579344, 0.9868109076795727, 0.5082346957617915, 0.00732210453260429, 0.35805443408034765, 0.3095178610168411, 0.8325938922698186, 0.21532837053622256, 0.8010407928034194, 0.41696411785506404, 0.07242785947779617, 0.0011271780891529692]",eye
10,70,"[0.692031520621808, 0.028331343589332314, 0.338782366886337, 0.7513382193079284, 0.06168126992247858, 0.7738785190907643, 0.03743769285739418, 0.4292852045526434, 0.44069301433787433, 0.09725407905669836, 0.10131982353862401, 0.133876750911734, 0.02770609859717521]",mouth
